TIME_Year;FACT_INDICATOR_FINANCE_Key;UTILITY_Country;INDICATOR_Name;FACT_INDICATOR_FINANCE_Name_In_Document;CURRENCY_Name;INDICATOR_Theme;UTILITY_Name;FACT_INDICATOR_FINANCE_Holding_Company;FACT_INDICATOR_Value;FACT_INDICATOR_FINANCE_Order_Magnitude;FACT_INDICATOR_FINANCE_Mantainer;FACT_INDICATOR_FINANCE_Observations;FACT_INDICATOR_FINANCE_Document;FACT_INDICATOR_FINANCE_Link;FACT_USD_RATE;TIME_Key;FACT_INDICATOR_Value_USD;FACT_INDICATOR_Value_Local
2009;1007624;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;421793;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;421793000
2010;1007625;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;446555;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;446555000
2011;1007626;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;445858;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;445858000
2012;1007627;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;445464;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;445464000
2013;1007628;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;430220;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;430220000
2014;1007629;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;422078;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;422078000
2015;1007630;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;432140;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;432140000
2016;1007631;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;452668;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;452668000
2017;1007632;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;466466;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;466466000
2018;1007633;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;475527;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;475527000
2019;1007634;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;508848;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;508848000
2020;1007635;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;525216;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;525216000
2000;1007636;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;224327;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;224327000
2001;1007637;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;276954;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;276954000
2002;1007638;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;297518;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;297518000
2003;1007639;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;338120;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;338120000
2004;1007640;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;346472;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;346472000
2005;1007641;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;373673;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;373673000
2006;1007642;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;408953;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;408953000
2007;1007643;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;429738;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;429738000
2008;1007644;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;435257;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;435257000
2009;1007645;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;472267;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;472267000
2010;1007646;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;476903;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;476903000
2011;1007647;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;490507;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;490507000
2012;1007648;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;487833;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;487833000
2013;1007649;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;481361;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;481361000
2014;1007650;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;514524;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;514524000
2015;1007651;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;521726;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;521726000
2016;1007652;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;545811;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;545811000
2017;1007653;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;554187;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;554187000
2018;1007654;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;546137;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;546137000
2019;1007655;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;590291;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;590291000
2020;1007656;BELIZE;ACTIVOS TOTALES;TOTAL ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;668452;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;668452000
2000;1007699;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.451465503;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;0.451465503
2001;1007700;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.44;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;0.44
2002;1007701;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.47;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;0.47
2003;1007702;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.5;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;0.5
2004;1007703;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.53;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;0.53
2005;1007704;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.59;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;0.59
2006;1007705;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.48;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;0.48
2007;1007706;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.43;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;0.43
2008;1007707;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;-0.16;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;-0.16
2009;1007708;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.13;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;0.13
2010;1007709;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.05;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;0.05
2011;1007710;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.02;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;0.02
2012;1007711;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;-0.231806759;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;-0.231806759
2013;1007712;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.27119942;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;0.27119942
2014;1007713;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.525027821;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;0.525027821
2015;1007714;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.360024872;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;0.360024872
2016;1007715;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.40264834;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;0.40264834
2017;1007716;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.257493845;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;0.257493845
2018;1007717;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;-0.051968178;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;-0.051968178
2019;1007718;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.044753192;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;0.044753192
2020;1007719;BELIZE;BENEFICIO POR ACCI�N;EARNINGS BY SHARE;;CAPITAL PROPRIO;BELIZE-BEL;EMPRESA;0.68;1;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;0.68
2000;1007720;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;10045;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;10045000
2001;1007721;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;11764;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;11764000
2002;1007722;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;13045;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;13045000
2003;1007723;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;14079;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;14079000
2004;1007724;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;15822;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;15822000
2005;1007725;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;18883;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;18883000
2006;1007726;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;26083;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;26083000
2007;1007727;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;29864;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;29864000
2008;1007728;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;-10838;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;-10838000
2009;1007729;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;8895;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;8895000
2010;1007730;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;3448;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;3448000
2011;1007731;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;1882;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;1882000
2012;1007732;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;-16000;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;-16000000
2013;1007733;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;18719;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;18719000
2014;1007734;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;36239;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;36239000
2015;1007735;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;24850;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;24850000
2016;1007736;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;27792;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;27792000
2017;1007737;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;17773;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;17773000
2018;1007738;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;-3587;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;-3587000
2019;1007739;BELIZE;DIVIDENDOS;NET INCOME APLICCABLE TO SHAREHOLDERS;;GOBERNANZA Y CAPITAL;BELIZE-BEL;EMPRESA;3089;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;3089000
2000;1007762;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;5707;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;5707000
2001;1007763;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;1236;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;1236000
2002;1007764;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;1051;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;1051000
2003;1007765;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;4137;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;4137000
2004;1007766;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;11844;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;11844000
2005;1007767;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;11160;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;11160000
2006;1007768;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;14237;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;14237000
2007;1007769;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;7074;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;7074000
2008;1007770;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;9091;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;9091000
2009;1007771;BELIZE;EFECTIVO;CASH AND SHORT TERM INVESTIMENTS;;ACTIVOS;BELIZE-BEL;EMPRESA;25274;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;25274000
